
---------- Begin Simulation Statistics ----------
simSeconds                                   0.034273                       # Number of seconds simulated (Second)
simTicks                                  34273424000                       # Number of ticks simulated (Tick)
finalTick                                 34273424000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    498.31                       # Real time elapsed on the host (Second)
hostTickRate                                 68779782                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8628236                       # Number of bytes of host memory used (Byte)
simInsts                                    100000004                       # Number of instructions simulated (Count)
simOps                                      194116066                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   200680                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     389551                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         68546849                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.685468                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.458856                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       219487801                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      260                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      212743872                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 363152                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             25371936                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          38548713                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  68                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            68368271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.111734                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.549595                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  17702468     25.89%     25.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5587136      8.17%     34.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7277032     10.64%     44.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7794447     11.40%     56.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7160935     10.47%     66.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6961971     10.18%     76.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7994943     11.69%     88.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5318634      7.78%     96.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2570705      3.76%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              68368271                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4371588     83.82%     83.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     83.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     83.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     83.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     83.82% # attempts to use FU when none available (Count)
