
---------- Begin Simulation Statistics ----------
simSeconds                                   0.090361                       # Number of seconds simulated (Second)
simTicks                                  90360808000                       # Number of ticks simulated (Tick)
finalTick                                 90360808000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    718.64                       # Real time elapsed on the host (Second)
hostTickRate                                125737821                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8848144                       # Number of bytes of host memory used (Byte)
simInsts                                    100000002                       # Number of instructions simulated (Count)
simOps                                      192853057                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   139151                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     268357                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        180721618                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.807216                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.553337                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       259092861                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    84581                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      240477734                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 534285                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             66324345                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          99593195                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               56819                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           151636252                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.585886                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.258145                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  86582608     57.10%     57.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11579125      7.64%     64.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10408081      6.86%     71.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10569952      6.97%     78.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9605489      6.33%     84.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8196606      5.41%     90.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8012371      5.28%     95.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4562781      3.01%     98.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2119239      1.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             151636252                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3935832     88.73%     88.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    23      0.00%     88.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     88.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     88.73% # attempts to use FU when none available (Count)
