
---------- Begin Simulation Statistics ----------
simSeconds                                   0.293353                       # Number of seconds simulated (Second)
simTicks                                 293353271500                       # Number of ticks simulated (Tick)
finalTick                                293353271500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1228.69                       # Real time elapsed on the host (Second)
hostTickRate                                238752767                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8860364                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      152470051                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    81387                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     124091                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        586706544                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.867065                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.170443                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       391697699                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1239                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      361852997                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 170301                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            239228812                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         228968911                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1065                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           586567219                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.616899                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.677063                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 501390340     85.48%     85.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7930964      1.35%     86.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8687529      1.48%     88.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  21692261      3.70%     92.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8150359      1.39%     93.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8091508      1.38%     94.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  20577834      3.51%     98.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5427180      0.93%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4619244      0.79%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             586567219                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3232912     96.68%     96.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     96.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     96.68% # attempts to use FU when none available (Count)
