
---------- Begin Simulation Statistics ----------
simSeconds                                   0.078260                       # Number of seconds simulated (Second)
simTicks                                  78260302500                       # Number of ticks simulated (Tick)
finalTick                                 78260302500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    687.90                       # Real time elapsed on the host (Second)
hostTickRate                                113766840                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8880044                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      206162956                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   145370                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     299699                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        156520606                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.565206                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.638894                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       250388197                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    21199                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      238857976                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 278635                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             44246412                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          59216322                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13024                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           134752457                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.772569                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.330377                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  72047277     53.47%     53.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9082021      6.74%     60.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10203307      7.57%     67.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10478116      7.78%     75.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  10201001      7.57%     83.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8100168      6.01%     89.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7843635      5.82%     94.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4807117      3.57%     98.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1989815      1.48%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             134752457                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3449554     86.64%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    19      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      8      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     86.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                  29336      0.74%     87.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      5      0.00%     87.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                   1058      0.03%     87.40% # attempts to use FU when none available (Count)
