
---------- Begin Simulation Statistics ----------
simSeconds                                   0.285338                       # Number of seconds simulated (Second)
simTicks                                 285338001500                       # Number of ticks simulated (Tick)
finalTick                                285338001500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1260.25                       # Real time elapsed on the host (Second)
hostTickRate                                226413527                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8859344                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      152470051                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79349                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     120984                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        570676004                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               5.706760                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.175231                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       382323554                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1224                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      352942958                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 168798                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            229854652                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         223799767                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1050                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           570536663                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.618616                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.678630                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 486910578     85.34%     85.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9131328      1.60%     86.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7334181      1.29%     88.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  20847038      3.65%     91.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   8959273      1.57%     93.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8127230      1.42%     94.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  19076301      3.34%     98.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5534766      0.97%     99.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4615968      0.81%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             570536663                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2622715     95.91%     95.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     95.91% # attempts to use FU when none available (Count)
