
---------- Begin Simulation Statistics ----------
simSeconds                                   0.038699                       # Number of seconds simulated (Second)
simTicks                                  38699197500                       # Number of ticks simulated (Tick)
finalTick                                 38699197500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    479.32                       # Real time elapsed on the host (Second)
hostTickRate                                 80738186                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8598584                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      188171433                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   208630                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     392582                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         77398396                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.773984                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.292016                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       193768745                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      246                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      192423731                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 147176                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5597522                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           8042630                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 108                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            77297014                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.489407                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.539781                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  29348485     37.97%     37.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6149405      7.96%     45.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   8034722     10.39%     56.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7562448      9.78%     66.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5935540      7.68%     73.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6670870      8.63%     82.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7284304      9.42%     91.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3774716      4.88%     96.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2536524      3.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              77297014                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2364651     86.65%     86.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     86.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     86.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     86.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     86.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     86.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     86.65% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     86.65% # attempts to use FU when none available (Count)
