
---------- Begin Simulation Statistics ----------
simSeconds                                   0.044259                       # Number of seconds simulated (Second)
simTicks                                  44259132000                       # Number of ticks simulated (Tick)
finalTick                                 44259132000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    537.39                       # Real time elapsed on the host (Second)
hostTickRate                                 82359574                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8775964                       # Number of bytes of host memory used (Byte)
simInsts                                    100000002                       # Number of instructions simulated (Count)
simOps                                      176212553                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186085                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     327905                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         88518265                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.885183                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.129710                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       198157351                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    46981                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      192298281                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 173629                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             21991704                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          31928626                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               29452                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            87283591                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.203144                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.582117                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  42042586     48.17%     48.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   4534800      5.20%     53.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6093293      6.98%     60.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7007686      8.03%     68.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7686640      8.81%     77.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5920603      6.78%     83.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6726807      7.71%     91.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4325988      4.96%     96.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2945188      3.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              87283591                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2306777     74.91%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    35      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     74.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 160960      5.23%     80.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     56      0.00%     80.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  29728      0.97%     81.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  8178      0.27%     81.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     81.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     81.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     81.37% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  395      0.01%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     81.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     81.38% # attempts to use FU when none available (Count)
