
---------- Begin Simulation Statistics ----------
simSeconds                                   0.034221                       # Number of seconds simulated (Second)
simTicks                                  34220545000                       # Number of ticks simulated (Tick)
finalTick                                 34220545000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    498.58                       # Real time elapsed on the host (Second)
hostTickRate                                 68635888                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8627216                       # Number of bytes of host memory used (Byte)
simInsts                                    100000004                       # Number of instructions simulated (Count)
simOps                                      194116066                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   200569                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     389337                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         68441091                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.684411                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.461111                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       218584913                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      252                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      212727608                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 363367                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             24469040                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          33927696                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  60                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            68261197                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.116377                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.548017                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  17578738     25.75%     25.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5598471      8.20%     33.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7288111     10.68%     44.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7797493     11.42%     56.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7161686     10.49%     66.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6960866     10.20%     76.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7993479     11.71%     88.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5310336      7.78%     96.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2572017      3.77%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              68261197                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4372289     83.76%     83.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     83.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     83.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     83.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     83.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     83.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     83.76% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     83.76% # attempts to use FU when none available (Count)
