
---------- Begin Simulation Statistics ----------
simSeconds                                   0.066894                       # Number of seconds simulated (Second)
simTicks                                  66894392000                       # Number of ticks simulated (Tick)
finalTick                                 66894392000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    604.00                       # Real time elapsed on the host (Second)
hostTickRate                                110753050                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8911344                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      193471353                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   165564                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     320319                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        133788785                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.337888                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.747447                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       223468325                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     8271                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      215157391                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 519657                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             30005197                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          45298804                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                6567                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           124444357                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.728945                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.308265                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  66828988     53.70%     53.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9446704      7.59%     61.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9486637      7.62%     68.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9014613      7.24%     76.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9844768      7.91%     84.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6819041      5.48%     89.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6720425      5.40%     94.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4368701      3.51%     98.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1914480      1.54%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             124444357                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3391522     87.09%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       1      0.00%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    11      0.00%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     87.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     87.09% # attempts to use FU when none available (Count)
