
---------- Begin Simulation Statistics ----------
simSeconds                                   1.800931                       # Number of seconds simulated (Second)
simTicks                                 1800930842000                       # Number of ticks simulated (Tick)
finalTick                                1800930842000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4145.21                       # Real time elapsed on the host (Second)
hostTickRate                                434460943                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8624492                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      196010940                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    24124                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      47286                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       3601861685                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              36.018617                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.027763                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       208726576                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1151                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      208669540                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5931                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12716787                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          21881282                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 419                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3601659211                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.057937                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.313670                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                3437493276     95.44%     95.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 137901173      3.83%     99.27% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  18117956      0.50%     99.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1972497      0.05%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3619907      0.10%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1790728      0.05%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    340742      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    246212      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    176720      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3601659211                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  220741     10.03%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     78      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     10.03% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     53      0.00%     10.03% # attempts to use FU when none available (Count)
