
---------- Begin Simulation Statistics ----------
simSeconds                                   0.097486                       # Number of seconds simulated (Second)
simTicks                                  97486137500                       # Number of ticks simulated (Tick)
finalTick                                 97486137500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    533.83                       # Real time elapsed on the host (Second)
hostTickRate                                182615357                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8810836                       # Number of bytes of host memory used (Byte)
simInsts                                    100000002                       # Number of instructions simulated (Count)
simOps                                      173052699                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   187324                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     324170                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        194972276                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.949723                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.512893                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       180593698                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     5638                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      179175920                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  56264                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              7546602                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           9141085                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2649                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           193381698                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.926540                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.917960                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 146702874     75.86%     75.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7549521      3.90%     79.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7482159      3.87%     83.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   6966025      3.60%     87.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   5699962      2.95%     90.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6148508      3.18%     93.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8800815      4.55%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2837944      1.47%     99.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1193890      0.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             193381698                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2116110     92.63%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     92.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   1594      0.07%     92.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     92.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   1892      0.08%     92.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     92.78% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    426      0.02%     92.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  1462      0.06%     92.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     92.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     92.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     92.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  267      0.01%     92.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     92.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     92.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     92.87% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd              3291      0.14%     93.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     93.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     93.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt              2183      0.10%     93.11% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv               901      0.04%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     93.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult             2604      0.11%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     93.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     93.27% # attempts to use FU when none available (Count)
