
---------- Begin Simulation Statistics ----------
simSeconds                                   0.090870                       # Number of seconds simulated (Second)
simTicks                                  90870038500                       # Number of ticks simulated (Tick)
finalTick                                 90870038500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    711.81                       # Real time elapsed on the host (Second)
hostTickRate                                127661268                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8835344                       # Number of bytes of host memory used (Byte)
simInsts                                    100000002                       # Number of instructions simulated (Count)
simOps                                      192853057                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   140488                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     270935                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        181740078                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.817401                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.550236                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       255659950                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    57293                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      238617172                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 469946                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             62864146                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          91941362                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               29531                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           152500073                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.564702                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.245353                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  87654320     57.48%     57.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  11680628      7.66%     65.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  10426365      6.84%     71.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  10607727      6.96%     78.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9513835      6.24%     85.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8133188      5.33%     90.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   7909100      5.19%     95.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4514527      2.96%     98.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2060383      1.35%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             152500073                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3854284     89.23%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     9      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                     30      0.00%     89.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     89.23% # attempts to use FU when none available (Count)
