
---------- Begin Simulation Statistics ----------
simSeconds                                   0.067672                       # Number of seconds simulated (Second)
simTicks                                  67671972000                       # Number of ticks simulated (Tick)
finalTick                                 67671972000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    599.19                       # Real time elapsed on the host (Second)
hostTickRate                                112938289                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8909812                       # Number of bytes of host memory used (Byte)
simInsts                                    100000002                       # Number of instructions simulated (Count)
simOps                                      193471355                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   166891                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     322886                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        135343945                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.353439                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.738858                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       221562612                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     7383                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      214131313                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 317069                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             28098588                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          41198127                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                5679                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           125896034                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.700858                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.291764                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  67890696     53.93%     53.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9988830      7.93%     61.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   9590007      7.62%     69.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   9407151      7.47%     76.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   9377334      7.45%     84.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   6756354      5.37%     89.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6662528      5.29%     95.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4310330      3.42%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1912804      1.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             125896034                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 3511755     89.13%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     9      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     89.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    473      0.01%     89.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     89.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    127      0.00%     89.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   387      0.01%     89.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     89.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     89.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     89.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   60      0.00%     89.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     89.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     89.15% # attempts to use FU when none available (Count)
