
---------- Begin Simulation Statistics ----------
simSeconds                                   0.314628                       # Number of seconds simulated (Second)
simTicks                                 314628282000                       # Number of ticks simulated (Tick)
finalTick                                314628282000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3686.70                       # Real time elapsed on the host (Second)
hostTickRate                                 85341386                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8788060                       # Number of bytes of host memory used (Byte)
simInsts                                    700000005                       # Number of instructions simulated (Count)
simOps                                     1086068978                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   189872                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     294591                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        629256565                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.898938                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.112424                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1127306214                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    97034                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1120273724                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 292594                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             41334234                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          53747303                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               79496                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           627910192                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.784130                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.558994                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 379623053     60.46%     60.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  18622303      2.97%     63.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  30296519      4.82%     68.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37356621      5.95%     74.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  42489757      6.77%     80.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  31155248      4.96%     85.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  37776467      6.02%     91.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  28127342      4.48%     96.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  22462882      3.58%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             627910192                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2467389     19.04%     19.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     19.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     8      0.00%     19.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     19.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    38      0.00%     19.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     19.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     19.04% # attempts to use FU when none available (Count)
