
---------- Begin Simulation Statistics ----------
simSeconds                                   0.526380                       # Number of seconds simulated (Second)
simTicks                                 526380418000                       # Number of ticks simulated (Tick)
finalTick                                526380418000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4160.83                       # Real time elapsed on the host (Second)
hostTickRate                                126508477                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8812504                       # Number of bytes of host memory used (Byte)
simInsts                                    700000003                       # Number of instructions simulated (Count)
simOps                                     1111829107                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   168236                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     267213                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1052760837                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.503944                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.664918                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1231974711                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12983                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1223771228                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 106050                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            120158538                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          59820880                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                8782                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1051218380                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.164146                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.116077                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 755279130     71.85%     71.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  31609360      3.01%     74.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  37308542      3.55%     78.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  42689030      4.06%     82.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  58775826      5.59%     88.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  40030123      3.81%     91.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  50841500      4.84%     96.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  28304177      2.69%     99.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   6380692      0.61%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1051218380                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20183065     98.82%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     7      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   1512      0.01%     98.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     98.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                   2123      0.01%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      1      0.00%     98.84% # attempts to use FU when none available (Count)
