
---------- Begin Simulation Statistics ----------
simSeconds                                   0.575195                       # Number of seconds simulated (Second)
simTicks                                 575194862000                       # Number of ticks simulated (Tick)
finalTick                                575194862000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5538.72                       # Real time elapsed on the host (Second)
hostTickRate                                103849778                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9542348                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1444863222                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   126383                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     260866                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1150389726                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.643414                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.608489                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1856736065                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   216736                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1750426416                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                4203250                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            412089526                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         559299273                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved              165097                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           970654543                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.803346                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.334422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 509012233     52.44%     52.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  68284381      7.03%     59.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  75253015      7.75%     67.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  76469972      7.88%     75.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  76868298      7.92%     83.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  58636619      6.04%     89.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  56316731      5.80%     94.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  34836936      3.59%     98.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14976358      1.54%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             970654543                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                23815472     84.23%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   377      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      8      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     84.23% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 126937      0.45%     84.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      6      0.00%     84.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                   1364      0.00%     84.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                  2339      0.01%     84.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     84.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     84.69% # attempts to use FU when none available (Count)
