
---------- Begin Simulation Statistics ----------
simSeconds                                   0.214906                       # Number of seconds simulated (Second)
simTicks                                 214905955500                       # Number of ticks simulated (Tick)
finalTick                                214905955500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3669.71                       # Real time elapsed on the host (Second)
hostTickRate                                 58562112                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9231552                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1330688933                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   190751                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     362614                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        429811912                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.614017                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.628619                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1334945165                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      551                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1335433280                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  23336                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4256372                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3490015                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 194                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           429428931                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.109789                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.526837                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 114040201     26.56%     26.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21982744      5.12%     31.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  47993697     11.18%     42.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  58329288     13.58%     56.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  56925115     13.26%     69.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  39069071      9.10%     78.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  38930642      9.07%     87.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  31419773      7.32%     95.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  20738400      4.83%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             429428931                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                16316307     90.74%     90.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   538      0.00%     90.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     90.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.74% # attempts to use FU when none available (Count)
