
---------- Begin Simulation Statistics ----------
simSeconds                                   0.126340                       # Number of seconds simulated (Second)
simTicks                                 126340412500                       # Number of ticks simulated (Tick)
finalTick                                126340412500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2080.69                       # Real time elapsed on the host (Second)
hostTickRate                                 60720508                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8791992                       # Number of bytes of host memory used (Byte)
simInsts                                    511718366                       # Number of instructions simulated (Count)
simOps                                      925096649                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   245937                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     444611                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        252680826                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.493789                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.025157                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       983378214                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      138                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      967308693                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1060630                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             58281697                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          75440343                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  84                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           252560266                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.830011                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.196383                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21865201      8.66%      8.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21464439      8.50%     17.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  30941875     12.25%     29.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37639163     14.90%     44.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  37757140     14.95%     59.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  37403324     14.81%     74.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  36210394     14.34%     88.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  18494369      7.32%     95.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  10784361      4.27%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             252560266                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                16975860     90.94%     90.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     90.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.94% # attempts to use FU when none available (Count)
