
---------- Begin Simulation Statistics ----------
simSeconds                                   8.988285                       # Number of seconds simulated (Second)
simTicks                                 8988284695500                       # Number of ticks simulated (Tick)
finalTick                                8988284695500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  19084.65                       # Real time elapsed on the host (Second)
hostTickRate                                470969214                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8664424                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1398915352                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36679                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      73301                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                      17976569392                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              25.680813                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.038940                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1552651860                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      199                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1552163574                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  11261                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            153736706                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         338179018                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  70                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         17976460929                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.086344                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.425908                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               16837341349     93.66%     93.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 978856541      5.45%     99.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  35997660      0.20%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  53275884      0.30%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  51563269      0.29%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3351759      0.02%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3429831      0.02%     99.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   3263884      0.02%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9380752      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           17976460929                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  233353      1.34%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      1.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      1.34% # attempts to use FU when none available (Count)
