
---------- Begin Simulation Statistics ----------
simSeconds                                   5.040952                       # Number of seconds simulated (Second)
simTicks                                 5040952039500                       # Number of ticks simulated (Tick)
finalTick                                5040952039500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  12628.39                       # Real time elapsed on the host (Second)
hostTickRate                                399176102                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9428220                       # Number of bytes of host memory used (Byte)
simInsts                                    700000004                       # Number of instructions simulated (Count)
simOps                                     1446086275                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55431                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     114511                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                      10081904080                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              14.402720                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.069431                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1601939672                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      175                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1649772636                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2826145                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            155853437                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         267247810                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  61                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         10081784132                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.163639                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.788798                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                9365063804     92.89%     92.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 424464787      4.21%     97.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  82872582      0.82%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  28283403      0.28%     98.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  64408237      0.64%     98.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  29451893      0.29%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  51824194      0.51%     99.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  24446957      0.24%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  10968275      0.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           10081784132                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                15397023     34.59%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     34.59% # attempts to use FU when none available (Count)
