
---------- Begin Simulation Statistics ----------
simSeconds                                   2.980934                       # Number of seconds simulated (Second)
simTicks                                 2980933550500                       # Number of ticks simulated (Tick)
finalTick                                2980933550500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   9137.32                       # Real time elapsed on the host (Second)
hostTickRate                                326237241                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8679896                       # Number of bytes of host memory used (Byte)
simInsts                                    700000001                       # Number of instructions simulated (Count)
simOps                                     1200705304                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    76609                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     131407                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       5961867102                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               8.516953                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.117413                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1306527443                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     9120                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1305643492                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  39088                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            105831244                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          55156138                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                4460                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          5961208415                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.219023                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.890721                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                5498447939     92.24%     92.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 132276678      2.22%     94.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  82178628      1.38%     95.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 130753319      2.19%     98.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  34222608      0.57%     98.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  42129621      0.71%     99.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  22963797      0.39%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  14458318      0.24%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3777507      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            5961208415                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1517347     25.31%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     25.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    686      0.01%     25.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     25.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     85      0.00%     25.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   110      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   97      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     25.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     25.33% # attempts to use FU when none available (Count)
