
---------- Begin Simulation Statistics ----------
simSeconds                                   0.664322                       # Number of seconds simulated (Second)
simTicks                                 664322475500                       # Number of ticks simulated (Tick)
finalTick                                664322475500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4702.86                       # Real time elapsed on the host (Second)
hostTickRate                                141259270                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9235764                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1382784764                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   148846                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     294031                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1328644952                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.898064                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.526853                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1627078421                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    41254                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1564394426                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                6452330                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            244334834                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         357638165                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               37720                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1228233384                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.273695                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.185390                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 816297886     66.46%     66.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  77333265      6.30%     72.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  65892827      5.36%     78.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  56270010      4.58%     82.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  63118092      5.14%     87.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  43314029      3.53%     91.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  46752985      3.81%     95.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  37129266      3.02%     98.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  22125024      1.80%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1228233384                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                44013669     92.84%     92.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     92.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       4      0.00%     92.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     92.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     92.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   379      0.00%     92.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     92.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     92.84% # attempts to use FU when none available (Count)
