
---------- Begin Simulation Statistics ----------
simSeconds                                   8.845495                       # Number of seconds simulated (Second)
simTicks                                 8845495387500                       # Number of ticks simulated (Tick)
finalTick                                8845495387500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  19018.02                       # Real time elapsed on the host (Second)
hostTickRate                                465111222                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8755792                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1313119736                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    36807                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      69046                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                      17690990776                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              25.272844                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.039568                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1420088787                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1188                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1420121889                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  31338                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            106970206                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         173336422                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 447                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples         17690788238                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.080275                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.464687                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0               16794627404     94.93%     94.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 687577917      3.89%     98.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  96266436      0.54%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  21406990      0.12%     99.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  39351026      0.22%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  21629711      0.12%     99.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10409591      0.06%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   8373379      0.05%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11145784      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total           17690788238                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1580248      6.50%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      1      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      6.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 309238      1.27%      7.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      7.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     66      0.00%      7.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    46      0.00%      7.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%      7.77% # attempts to use FU when none available (Count)
