
---------- Begin Simulation Statistics ----------
simSeconds                                   0.126832                       # Number of seconds simulated (Second)
simTicks                                 126831972500                       # Number of ticks simulated (Tick)
finalTick                                126831972500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2932.88                       # Real time elapsed on the host (Second)
hostTickRate                                 43244925                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8787892                       # Number of bytes of host memory used (Byte)
simInsts                                    511718366                       # Number of instructions simulated (Count)
simOps                                      925096649                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   174477                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     315423                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        253663946                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.495710                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.017308                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       978478633                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      119                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      964001301                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 864255                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             53382097                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          70197537                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  65                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           253545047                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.802091                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.182419                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21620110      8.53%      8.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  21698296      8.56%     17.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  32635588     12.87%     29.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  38159354     15.05%     45.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  37201984     14.67%     59.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  38116535     15.03%     74.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  35957083     14.18%     88.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  17828118      7.03%     95.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  10327979      4.07%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             253545047                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                16156229     90.93%     90.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     90.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.93% # attempts to use FU when none available (Count)
