
---------- Begin Simulation Statistics ----------
simSeconds                                   0.699959                       # Number of seconds simulated (Second)
simTicks                                 699958534000                       # Number of ticks simulated (Tick)
finalTick                                699958534000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4029.15                       # Real time elapsed on the host (Second)
hostTickRate                                173723665                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9214260                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1382784771                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   173734                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     343195                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1399917069                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.999882                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.500030                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1591956314                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    42424                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1541106034                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                3478428                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            209213923                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         289192953                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               38890                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1298373593                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.186951                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.085579                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 889684444     68.52%     68.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  67360752      5.19%     73.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  64978659      5.00%     78.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  56986060      4.39%     83.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  78352578      6.03%     89.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  50419174      3.88%     93.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  42848831      3.30%     96.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  31714144      2.44%     98.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  16028951      1.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1298373593                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                27212809     89.88%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       7      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   245      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     89.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    465      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    116      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                   409      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   76      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd                 0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     89.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                1857360      6.13%     96.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite                823197      2.72%     98.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead            271686      0.90%     99.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           109456      0.36%    100.00% # attempts to use FU when none available (Count)
