
---------- Begin Simulation Statistics ----------
simSeconds                                   0.317426                       # Number of seconds simulated (Second)
simTicks                                 317426351000                       # Number of ticks simulated (Tick)
finalTick                                317426351000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3303.83                       # Real time elapsed on the host (Second)
hostTickRate                                 96078340                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8781916                       # Number of bytes of host memory used (Byte)
simInsts                                    700000005                       # Number of instructions simulated (Count)
simOps                                     1086068978                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   211875                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     328730                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        634852703                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.906932                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.102618                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1116418645                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    47010                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1111824872                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 177473                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             30396641                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          37892956                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               29472                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           633519965                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.754996                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.544492                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 386789647     61.05%     61.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  18318022      2.89%     63.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  30199163      4.77%     68.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  37288057      5.89%     74.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  42606462      6.73%     81.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  30644604      4.84%     86.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  38110643      6.02%     92.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  27575309      4.35%     96.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  21988058      3.47%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             633519965                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2356700     21.60%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     2      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    35      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      2      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     21.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                2311260     21.18%     42.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     58      0.00%     42.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                  29755      0.27%     43.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                 36226      0.33%     43.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     43.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     43.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     43.39% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                  396      0.00%     43.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     43.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     43.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     43.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd            165684      1.52%     44.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     44.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     44.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt             39388      0.36%     45.27% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv            147014      1.35%     46.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     46.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult           838172      7.68%     54.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             0      0.00%     54.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     54.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     54.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     54.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     54.30% # attempts to use FU when none available (Count)
