
---------- Begin Simulation Statistics ----------
simSeconds                                   0.188885                       # Number of seconds simulated (Second)
simTicks                                 188885144000                       # Number of ticks simulated (Tick)
finalTick                                188885144000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3587.02                       # Real time elapsed on the host (Second)
hostTickRate                                 52657975                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9183676                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1367957617                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   195148                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     381363                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        377770289                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.539672                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.852978                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1424455149                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   246809                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1401839196                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 195288                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             56744314                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         112675224                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               13552                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           377205128                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.716384                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.245061                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  36707553      9.73%      9.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  36817269      9.76%     19.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  46340584     12.29%     31.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  57123500     15.14%     46.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  58450627     15.50%     62.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  44593221     11.82%     74.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  51647808     13.69%     87.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  29881730      7.92%     95.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  15642836      4.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             377205128                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                18529926     79.97%     79.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     79.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     79.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     79.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     79.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     79.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     79.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     79.97% # attempts to use FU when none available (Count)
