
---------- Begin Simulation Statistics ----------
simSeconds                                   0.578744                       # Number of seconds simulated (Second)
simTicks                                 578744049000                       # Number of ticks simulated (Tick)
finalTick                                578744049000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5537.57                       # Real time elapsed on the host (Second)
hostTickRate                                104512212                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9403088                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1444863222                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   126409                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     260920                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1157488100                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.653554                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.604758                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1774019550                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   112101                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1690471597                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1939880                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            329268376                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         432619730                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               60462                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           978785189                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.727112                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.312446                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 532660879     54.42%     54.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  65817026      6.72%     61.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  73382279      7.50%     68.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  74530158      7.61%     76.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  72580691      7.42%     83.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  57100548      5.83%     89.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  54761905      5.59%     95.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  33711019      3.44%     98.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14240684      1.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             978785189                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                23002336     85.07%     85.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     85.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     85.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     85.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     85.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   181      0.00%     85.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     85.07% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     85.07% # attempts to use FU when none available (Count)
