
---------- Begin Simulation Statistics ----------
simSeconds                                   0.455210                       # Number of seconds simulated (Second)
simTicks                                 455209824500                       # Number of ticks simulated (Tick)
finalTick                                455209824500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3356.43                       # Real time elapsed on the host (Second)
hostTickRate                                135623064                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8664608                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1127554192                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   208555                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     335938                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        910419650                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.300599                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.768876                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1143451693                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     3992                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1132304244                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5053                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             15901352                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          40729122                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2255                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           910198242                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.244019                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.539677                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 393750721     43.26%     43.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 224124583     24.62%     67.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 126575479     13.91%     81.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  84515533      9.29%     91.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  34513163      3.79%     94.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  27391259      3.01%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  11756858      1.29%     99.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4633159      0.51%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2937487      0.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             910198242                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  366799      7.26%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      7.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                 125266      2.48%      9.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      5      0.00%      9.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     46      0.00%      9.74% # attempts to use FU when none available (Count)
