
---------- Begin Simulation Statistics ----------
simSeconds                                   0.708557                       # Number of seconds simulated (Second)
simTicks                                 708556504000                       # Number of ticks simulated (Tick)
finalTick                                708556504000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4513.03                       # Real time elapsed on the host (Second)
hostTickRate                                157002382                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9193776                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1382784764                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   155106                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     306398                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1417113009                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.024447                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.493962                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1558909098                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    36919                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1515211916                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                2990873                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            176161176                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         246069643                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               33385                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1315569817                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.151753                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.059869                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 910273916     69.19%     69.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  69752526      5.30%     74.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  65457592      4.98%     79.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  56384662      4.29%     83.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  74719844      5.68%     89.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  48134669      3.66%     93.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  44556428      3.39%     96.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  31822509      2.42%     98.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  14467671      1.10%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1315569817                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                25377794     90.24%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       1      0.00%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    58      0.00%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.24% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.24% # attempts to use FU when none available (Count)
