
---------- Begin Simulation Statistics ----------
simSeconds                                   0.514612                       # Number of seconds simulated (Second)
simTicks                                 514612438000                       # Number of ticks simulated (Tick)
finalTick                                514612438000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4308.08                       # Real time elapsed on the host (Second)
hostTickRate                                119452722                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8851984                       # Number of bytes of host memory used (Byte)
simInsts                                    700000005                       # Number of instructions simulated (Count)
simOps                                     1033589441                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   162485                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     239919                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       1029224877                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.470321                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.680123                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1792644023                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1272                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1562438789                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1334412                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            759055756                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        1289292616                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1098                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          1029082318                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.518284                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.267739                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 634191372     61.63%     61.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  50042277      4.86%     66.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  50355706      4.89%     71.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  76619269      7.45%     78.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  64682500      6.29%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  49274112      4.79%     89.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  62534735      6.08%     95.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  29540453      2.87%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  11841894      1.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            1029082318                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                20964778     97.17%     97.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     97.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     97.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     97.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     97.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     1      0.00%     97.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     97.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     97.17% # attempts to use FU when none available (Count)
